STATION,NAME,DATE,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,daily_mean
USC00042319,"DEATH VALLEY, CA US",1/1/2010,64.4,37.7,51.05
USC00042319,"DEATH VALLEY, CA US",1/2/2010,64.5,37.8,51.15
USC00042319,"DEATH VALLEY, CA US",1/3/2010,64.7,37.9,51.3
USC00042319,"DEATH VALLEY, CA US",1/4/2010,64.8,38,51.4
USC00042319,"DEATH VALLEY, CA US",1/5/2010,65,38.2,51.6
USC00042319,"DEATH VALLEY, CA US",1/6/2010,65.1,38.3,51.7
USC00042319,"DEATH VALLEY, CA US",1/7/2010,65.3,38.5,51.9
USC00042319,"DEATH VALLEY, CA US",1/8/2010,65.4,38.6,52
USC00042319,"DEATH VALLEY, CA US",1/9/2010,65.6,38.8,52.2
USC00042319,"DEATH VALLEY, CA US",1/10/2010,65.8,38.9,52.35
USC00042319,"DEATH VALLEY, CA US",1/11/2010,65.9,39.1,52.5
USC00042319,"DEATH VALLEY, CA US",1/12/2010,66.1,39.3,52.7
USC00042319,"DEATH VALLEY, CA US",1/13/2010,66.3,39.4,52.85
USC00042319,"DEATH VALLEY, CA US",1/14/2010,66.5,39.6,53.05
USC00042319,"DEATH VALLEY, CA US",1/15/2010,66.7,39.8,53.25
USC00042319,"DEATH VALLEY, CA US",1/16/2010,66.8,39.9,53.35
USC00042319,"DEATH VALLEY, CA US",1/17/2010,67,40.1,53.55
USC00042319,"DEATH VALLEY, CA US",1/18/2010,67.2,40.3,53.75
USC00042319,"DEATH VALLEY, CA US",1/19/2010,67.4,40.5,53.95
USC00042319,"DEATH VALLEY, CA US",1/20/2010,67.6,40.6,54.1
USC00042319,"DEATH VALLEY, CA US",1/21/2010,67.8,40.8,54.3
USC00042319,"DEATH VALLEY, CA US",1/22/2010,67.9,41,54.45
USC00042319,"DEATH VALLEY, CA US",1/23/2010,68.1,41.2,54.65
USC00042319,"DEATH VALLEY, CA US",1/24/2010,68.3,41.3,54.8
USC00042319,"DEATH VALLEY, CA US",1/25/2010,68.5,41.5,55
USC00042319,"DEATH VALLEY, CA US",1/26/2010,68.7,41.7,55.2
USC00042319,"DEATH VALLEY, CA US",1/27/2010,68.9,41.9,55.4
USC00042319,"DEATH VALLEY, CA US",1/28/2010,69.1,42.1,55.6
USC00042319,"DEATH VALLEY, CA US",1/29/2010,69.3,42.3,55.8
USC00042319,"DEATH VALLEY, CA US",1/30/2010,69.5,42.5,56
USC00042319,"DEATH VALLEY, CA US",1/31/2010,69.7,42.7,56.2
USC00042319,"DEATH VALLEY, CA US",2/1/2010,69.9,42.9,56.4
USC00042319,"DEATH VALLEY, CA US",2/2/2010,70.1,43.1,56.6
USC00042319,"DEATH VALLEY, CA US",2/3/2010,70.3,43.3,56.8
USC00042319,"DEATH VALLEY, CA US",2/4/2010,70.5,43.5,57
USC00042319,"DEATH VALLEY, CA US",2/5/2010,70.8,43.7,57.25
USC00042319,"DEATH VALLEY, CA US",2/6/2010,71,43.9,57.45
USC00042319,"DEATH VALLEY, CA US",2/7/2010,71.2,44.2,57.7
USC00042319,"DEATH VALLEY, CA US",2/8/2010,71.4,44.4,57.9
USC00042319,"DEATH VALLEY, CA US",2/9/2010,71.7,44.7,58.2
USC00042319,"DEATH VALLEY, CA US",2/10/2010,71.9,44.9,58.4
USC00042319,"DEATH VALLEY, CA US",2/11/2010,72.2,45.2,58.7
USC00042319,"DEATH VALLEY, CA US",2/12/2010,72.5,45.4,58.95
USC00042319,"DEATH VALLEY, CA US",2/13/2010,72.7,45.7,59.2
USC00042319,"DEATH VALLEY, CA US",2/14/2010,73,46,59.5
USC00042319,"DEATH VALLEY, CA US",2/15/2010,73.3,46.3,59.8
USC00042319,"DEATH VALLEY, CA US",2/16/2010,73.6,46.6,60.1
USC00042319,"DEATH VALLEY, CA US",2/17/2010,73.8,46.8,60.3
USC00042319,"DEATH VALLEY, CA US",2/18/2010,74.1,47.1,60.6
USC00042319,"DEATH VALLEY, CA US",2/19/2010,74.4,47.5,60.95
USC00042319,"DEATH VALLEY, CA US",2/20/2010,74.7,47.8,61.25
USC00042319,"DEATH VALLEY, CA US",2/21/2010,75,48.1,61.55
